ticker,trailingPE,priceToBook,debtToEquity,returnOnEquity,returnOnAssets,earningsPerShare,profitMargins,currentRatio,floatShares
NPN.JO,8.684654,191.7769,32.641,0.2576,0.00187,,0.72743,3.715,782814463
PRX.JO,9.239124,214.85924,32.146,0.26021,0.00239,,1.96384,3.661,1282458468
AGL.JO,,254.52061,65.506,-0.02674,0.04109,,-0.20171,2.648,940616409
SOL.JO,52.491936,81.851906,70.472,0.02474,0.05726,,0.00966,1.657,578336579
GFI.JO,11.407323,476.8981,37.143,0.51931,0.21619,,0.40764,1.793,894245576
ANG.JO,17.99596,582.7837,23.003,0.34445998,0.18687001,,0.26645002,2.869,504156275
IMP.JO,28.32311,239.33325,2.952,0.0828,0.0587,,0.07898,2.93,743559719
FSR.JO,12.176471,209.97787,,0.1985,0.01812,,0.32784998,,5554984643
SBK.JO,11.370903,178.85484,,0.1873,0.016449999,,0.28385,,1296232488
ABG.JO,9.142911,116.555305,,0.13666001,0.01189,,0.21736999,,828000026
NED.JO,16.705774,110.12002,,0.07438,0.00632,,0.13011,,434996311
DSY.JO,0.17759927,229.60864,26.915,0.15679,0.03266,,0.11878,5.261,554962260
SLM.JO,9.669883,185.45088,18.022,0.16882,0.06606,,0.065120004,0.652,1693660056
WHL.JO,27.182291,448.63748,196.776,0.15708,0.07452,,0.02111,1.163,799886256
PIK.JO,,139.66438,182.315,-0.021860002,0.02658,,-0.0032600001,1.05,704363113
SPP.JO,15.3929405,237.10631,306.212,0.10453,0.03168,,-0.036730003,0.987,156610463
TFG.JO,7.787946,89.80695,103.671,0.11857,0.06595,,0.04769,1.596,305663824
MRP.JO,11.709494,316.8946,61.77,0.28548,0.11099,,0.09003,1.282,236754176
MTN.JO,48.93674,254.25699,87.537,0.17833,0.09556,,0.08936,0.941,1355391423
VOD.JO,15.706806,321.43317,77.545,0.24728,0.09538,,0.11769,1.119,447798900
TKG.JO,8.653521,89.22581,41.415,0.11594,0.05372,,0.17899,1.117,236136610
REM.JO,32.148464,89.473915,3.897,0.02622,0.01372,,0.06413,3.798,498493570
