Date,ABG.JO,AGL.JO,ANG.JO,DSY.JO,FSR.JO,GFI.JO,IMP.JO,MRP.JO,MTN.JO,NED.JO,NPN.JO,PIK.JO,PRX.JO,REM.JO,SBK.JO,SLM.JO,SOL.JO,SPP.JO,TFG.JO,TKG.JO,VOD.JO,WHL.JO
2019-01-02,15707.349609375,29983.447265625,18222.3359375,15839.6826171875,6312.16064453125,4964.16259765625,3605.082275390625,23559.0234375,8679.0849609375,26536.591796875,35012.96484375,6773.02099609375,,13406.1513671875,17487.8671875,7720.18115234375,41682.04296875,20006.748046875,13817.24609375,6189.62255859375,12886.6806640625,5367.54443359375
2019-01-03,15798.92578125,30042.99609375,19015.73828125,15939.6171875,6436.6904296875,5086.89453125,3709.79443359375,23807.37890625,8618.2314453125,26955.662109375,35063.25390625,7076.53076171875,,13478.4052734375,17773.63671875,7941.35595703125,42824.45703125,20160.5078125,14104.0498046875,6244.5654296875,12868.7509765625,5387.49853515625
2019-01-04,15941.267578125,30233.3359375,18253.30859375,15889.650390625,6500.45068359375,5085.896484375,3716.775146484375,24337.01171875,8708.0146484375,27332.921875,35874.1484375,7165.38623046875,,13767.4326171875,17995.685546875,8087.8095703125,43111.05859375,20367.169921875,14576.2255859375,6393.412109375,13036.060546875,5453.345703125
2019-01-07,16194.0986328125,30414.900390625,18085.43359375,15838.68359375,6463.58935546875,5053.96728515625,3743.701171875,24486.625,8727.9658203125,26836.20703125,35475.6171875,7178.36474609375,,13758.134765625,17824.421875,8096.7763671875,42444.98828125,19967.814453125,14602.45703125,6424.3798828125,12893.6484375,5388.49658203125
2019-01-08,16387.205078125,30586.6875,17129.15234375,15826.689453125,6475.54296875,4887.330078125,3699.82177734375,24342.9921875,8629.205078125,26956.65625,35647.6015625,7142.423828125,,13965.603515625,17922.0,7945.341796875,43014.1953125,19955.8359375,14515.0185546875,6402.40283203125,12975.3125,5423.4140625
2019-01-09,16374.263671875,31367.58984375,17636.76953125,16067.5341796875,6650.88232421875,5058.955078125,3729.739990234375,24691.095703125,8704.0244140625,27089.044921875,37376.48828125,7188.34912109375,,14393.4208984375,18002.65625,8073.861328125,44438.2109375,20031.71484375,14628.6884765625,6565.2353515625,13095.8125,5576.060546875
2019-01-10,16668.900390625,31153.8203125,17711.716796875,16055.541015625,6773.41943359375,5038.99951171875,3733.728759765625,25081.083984375,8635.189453125,27330.931640625,37139.51171875,7288.1875,,14613.7705078125,18296.39453125,8148.58251953125,44333.359375,20192.455078125,15175.1884765625,6682.11474609375,13079.87890625,5611.978515625
2019-01-11,16876.943359375,31243.625,17769.673828125,16202.4462890625,6799.3212890625,4995.09423828125,3678.87939453125,25267.6015625,8628.2060546875,27670.359375,37524.08203125,7344.095703125,,14658.8408203125,18443.76171875,8230.2783203125,44737.796875,20446.044921875,15214.5341796875,6849.94140625,13170.50390625,5664.85498046875
2019-01-14,16822.19140625,31235.818359375,17686.734375,16347.3525390625,6824.22705078125,5035.00732421875,3564.19482421875,25535.904296875,8525.4541015625,27722.123046875,37206.26953125,7388.025390625,,14522.9111328125,18520.43359375,8279.095703125,44251.47265625,20712.61328125,14876.142578125,6747.0478515625,13314.9052734375,5519.19287109375
2019-01-15,17021.275390625,30923.453125,17329.001953125,16403.31640625,6806.29541015625,4938.2177734375,3509.345703125,25436.1640625,8533.4345703125,27692.263671875,37510.75390625,7407.9931640625,,14567.98046875,18651.865234375,8437.5029296875,43898.9609375,20643.7265625,14742.3603515625,6727.06787109375,13116.7275390625,5452.34765625
2019-01-16,17489.111328125,30804.3671875,17083.18359375,16710.1171875,6890.9755859375,4849.41357421875,3486.4091796875,25847.1015625,8579.3251953125,27816.6875,38245.58984375,7546.767578125,,14665.9951171875,18890.837890625,8396.6572265625,41544.234375,21038.08984375,14863.8994140625,6742.05322265625,13582.798828125,5479.28564453125
2019-01-17,17343.779296875,31026.923828125,17570.8203125,16527.236328125,6730.5810546875,4942.2109375,3595.10986328125,21534.265625,8479.56640625,27709.185546875,38265.703125,7348.08935546875,,14665.9951171875,18527.40234375,8308.982421875,41537.24609375,20117.572265625,15344.8212890625,6318.4892578125,13135.6474609375,4932.55322265625
2019-01-18,17378.619140625,31531.576171875,16948.29296875,16511.24609375,6800.3173828125,4942.2109375,3550.233154296875,20843.05078125,8527.44921875,27642.48828125,38501.8046875,7376.0439453125,,14737.5322265625,18348.16796875,8340.865234375,41823.84765625,20240.375,15187.431640625,6369.43701171875,13244.1982421875,5013.3671875
2019-01-21,17338.802734375,31733.6328125,16589.556640625,16565.2109375,6730.5810546875,4905.291015625,3550.233154296875,21050.513671875,8529.4443359375,27473.267578125,39788.29296875,7334.11279296875,,14812.6552734375,18286.439453125,8288.0615234375,42028.56640625,20130.55078125,14806.19140625,6400.40478515625,12956.388671875,5003.390625
2019-01-22,17363.6875,31576.4765625,16987.263671875,16452.28125,6751.50146484375,5094.87646484375,3618.046875,21158.240234375,8594.2880859375,27502.140625,39601.8515625,7288.1875,,14788.330078125,18450.728515625,8283.08203125,42241.265625,20106.58984375,14658.419921875,6469.333984375,12764.185546875,5000.39599609375
2019-01-23,17362.689453125,31696.54296875,17227.080078125,16413.306640625,6848.13623046875,5133.7919921875,3679.876953125,21008.625,8639.1806640625,27297.083984375,38344.40625,7230.28173828125,,14809.076171875,18388.99609375,8343.8525390625,41842.81640625,20517.9296875,14515.0185546875,6646.1513671875,12907.5927734375,5030.32666015625
2019-01-24,17469.1953125,31467.15625,17578.814453125,16192.451171875,6925.8427734375,5128.80224609375,3679.876953125,20995.65625,8380.8017578125,27885.373046875,38092.96484375,7286.18994140625,,14781.890625,18719.580078125,8368.7607421875,40981.0234375,20765.529296875,14922.486328125,6516.28564453125,12136.7822265625,5015.361328125
2019-01-25,17917.126953125,31950.33203125,17941.54296875,16199.447265625,7034.43212890625,5190.66796875,3739.712158203125,21444.49609375,8299.9990234375,28694.63671875,38218.6875,7131.44091796875,,14952.162109375,19410.607421875,8349.8310546875,42048.53515625,19992.779296875,14832.423828125,6490.3125,11915.6953125,4968.470703125
2019-01-28,17480.1484375,32406.1796875,18427.1796875,15909.6376953125,6851.12451171875,5187.67529296875,3799.547119140625,21147.26953125,8385.791015625,28263.625,37904.39453125,7038.59130859375,,14736.1044921875,18990.416015625,8218.3212890625,41622.125,19967.814453125,14799.1962890625,6453.3505859375,11854.947265625,4988.42431640625
2019-01-29,18542.236328125,32728.302734375,18483.13671875,15805.7041015625,6940.78759765625,5393.22509765625,3829.465087890625,21687.87109375,8529.4443359375,28269.59375,38778.01171875,7055.56494140625,,14791.1923828125,19195.53515625,8323.927734375,41530.25390625,20045.689453125,15017.794921875,6639.15869140625,12079.0185546875,5086.19775390625
2019-01-30,18446.67578125,33285.65625,18863.8515625,15615.828125,6849.1328125,5428.14990234375,3866.36376953125,21693.8515625,8497.521484375,28329.32421875,38012.00390625,6838.91552734375,,14751.1279296875,19189.560546875,8268.13671875,41442.375,19479.603515625,14536.87890625,6581.21826171875,11922.666015625,4915.59326171875
2019-01-31,18393.921875,33392.0625,18683.984375,15911.6357421875,6912.89208984375,5364.28857421875,3854.39697265625,22242.431640625,8682.076171875,28445.78515625,38218.6875,6933.76123046875,,15098.103515625,19416.58203125,8379.720703125,39986.40234375,19907.912109375,14807.94140625,6705.0908203125,12008.3115234375,5011.3720703125
2019-02-01,18205.79296875,33693.671875,18984.76171875,15939.6171875,6824.22705078125,5365.28759765625,3864.369140625,22269.361328125,8788.8203125,28205.890625,37024.35546875,6938.75439453125,,14952.162109375,19340.908203125,8418.5751953125,39794.671875,19835.02734375,14624.3154296875,6500.30224609375,11941.5888671875,5025.3388671875
2019-02-04,17452.28125,33480.87890625,18020.48046875,15639.8134765625,6640.9189453125,5091.8837890625,4170.52734375,21095.400390625,8565.3583984375,27797.77734375,37150.07421875,6890.83056640625,,14502.8798828125,18699.66015625,8169.50439453125,40144.1796875,19089.234375,14043.716796875,6467.3359375,11568.134765625,4776.91455078125
2019-02-05,17484.130859375,33567.76171875,18225.330078125,15689.779296875,6749.509765625,5028.0224609375,4152.576171875,21625.03125,8736.9443359375,28269.59375,38159.9765625,6798.97998046875,,14649.5400390625,18552.296875,8219.3193359375,41823.84765625,19403.724609375,14603.3310546875,6540.26025390625,11766.3134765625,4903.62109375
2019-02-06,17603.576171875,33725.89453125,18325.255859375,15636.81640625,6750.5048828125,4948.197265625,4237.34375,21290.892578125,8740.9345703125,28245.708984375,38869.54296875,6828.931640625,,14665.9951171875,18670.787109375,8187.43701171875,42306.17578125,19385.755859375,14779.958984375,6659.1376953125,11568.134765625,4933.55224609375
2019-02-07,17469.1953125,33779.578125,18596.052734375,15436.9453125,6674.791015625,4795.53076171875,4348.0380859375,20983.689453125,8549.396484375,27386.673828125,38206.11328125,6614.27978515625,,14440.6396484375,18352.154296875,8004.12158203125,41093.8671875,18921.501953125,14123.2861328125,6593.2060546875,11333.1064453125,4788.88671875
2019-02-08,17516.98046875,33231.0,18286.28515625,15305.0302734375,6575.1669921875,4809.49951171875,4512.58642578125,20525.875,8479.56640625,27503.12890625,37590.09375,6551.38134765625,,14238.1767578125,18381.02734375,7884.568359375,38424.578125,19185.076171875,14108.423828125,6624.17431640625,11253.4365234375,4725.03564453125
2019-02-11,17399.521484375,33044.55859375,18152.38671875,15018.21875,6481.52197265625,4788.5458984375,4407.87353515625,20596.6875,8522.4619140625,27717.1484375,38093.09375,6474.50634765625,,14215.2822265625,18440.7734375,7714.20458984375,38270.7890625,18990.392578125,14199.3603515625,6693.103515625,11365.96875,4569.39697265625
2019-02-12,17809.625,33039.6796875,18461.158203125,15099.166015625,6522.3671875,4930.23681640625,4457.73681640625,20977.705078125,8639.1806640625,28755.361328125,38532.984375,6739.07666015625,,14532.9267578125,18888.849609375,7755.05078125,38955.8359375,19945.849609375,14413.5849609375,6912.87646484375,11651.7880859375,4639.2353515625
2019-02-13,18365.05859375,34125.125,18538.09765625,15059.1904296875,6470.5615234375,5088.89013671875,4567.4345703125,20638.5859375,8529.4443359375,28940.50390625,37841.52734375,6736.08251953125,,14400.5771484375,18975.4765625,7724.16650390625,41132.80859375,20467.01171875,14279.8037109375,7042.74267578125,11610.955078125,4601.3232421875
2019-02-14,17719.046875,33943.57421875,19023.73046875,14490.560546875,6296.22119140625,5245.54736328125,4766.88623046875,20546.822265625,8576.33203125,28525.421875,38589.4375,6728.09521484375,,14127.2880859375,18739.490234375,7532.880859375,40352.89453125,20202.435546875,14041.966796875,7006.7802734375,11513.361328125,4501.5537109375
2019-02-15,17316.90625,34473.61328125,19275.54296875,14262.708984375,6251.390625,5236.56689453125,4828.716796875,20768.24609375,8419.7099609375,28673.732421875,38419.08203125,6752.056640625,,14144.4580078125,18734.509765625,7583.69140625,40553.61328125,20305.26953125,14247.4521484375,6971.81591796875,11492.4462890625,4499.55908203125
2019-02-18,17385.58984375,34657.109375,19666.25,14448.587890625,6453.626953125,5496.9990234375,5006.22802734375,21104.380859375,8570.345703125,28750.37890625,39161.5859375,6809.96240234375,,14236.744140625,19110.896484375,7733.1337890625,41192.72265625,20349.201171875,14386.4794921875,6771.02294921875,11630.8759765625,4597.33154296875
2019-02-19,16944.630859375,35002.65234375,19863.1015625,14195.751953125,6383.89013671875,5601.771484375,5084.01416015625,20998.654296875,8599.27734375,28263.625,39073.578125,6690.15673828125,,13928.4013671875,18811.1796875,7575.72119140625,41342.51953125,19925.880859375,14273.681640625,6693.103515625,11558.173828125,4539.46630859375
2019-02-20,17000.37109375,35629.32421875,22083.435546875,14505.5517578125,6402.81787109375,5986.93017578125,5270.5009765625,20928.826171875,8664.12109375,28344.255859375,39597.328125,6790.99267578125,,14311.1484375,18973.48828125,7611.5869140625,41492.3125,19967.814453125,14366.369140625,6817.974609375,11669.71484375,4423.73388671875
2019-02-21,17621.498046875,35819.66796875,21334.99609375,14585.498046875,6493.4765625,5767.4091796875,5164.7919921875,21084.4296875,8494.529296875,28767.30078125,38973.00390625,6789.99462890625,,14773.306640625,19317.009765625,7770.99267578125,41110.83984375,19647.33203125,14296.4189453125,6787.00634765625,11564.150390625,4295.03369140625
2019-02-22,17643.390625,36477.5703125,20691.478515625,15002.228515625,6453.626953125,5714.5234375,5175.76123046875,21743.72265625,8670.1064453125,28486.595703125,39448.6015625,6808.9638671875,,14814.798828125,19461.390625,7920.43408203125,41390.44921875,19830.0390625,14689.8994140625,6864.92578125,11939.59765625,4482.59814453125
2019-02-25,17999.74609375,35918.2578125,20089.927734375,14990.234375,6392.85693359375,5680.5986328125,5088.00341796875,21896.330078125,8543.4111328125,28458.7265625,39414.65625,6918.78564453125,,14592.3056640625,19568.927734375,8022.05517578125,41242.65625,19935.8671875,14856.029296875,6985.80126953125,11729.4658203125,4492.57470703125
2019-02-26,18215.748046875,36097.859375,20078.935546875,15290.0390625,6464.5859375,5702.5498046875,5270.5009765625,22208.521484375,8429.6875,28866.84765625,39501.78125,6957.7236328125,,14644.533203125,19568.927734375,8076.8505859375,41766.92578125,20021.7265625,15213.6611328125,6967.8203125,11572.119140625,4612.296875
2019-02-27,18146.068359375,36994.91015625,20285.783203125,15320.0224609375,6425.73193359375,5727.49609375,5484.9111328125,22142.689453125,8422.7021484375,28384.072265625,39118.51171875,7088.51025390625,,14420.6064453125,19307.05078125,7920.43408203125,42569.8125,20100.6015625,15228.5263671875,6992.79443359375,11720.505859375,4599.3271484375
